Blank,,Sample4,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
563.039978,0.07385742664,563.039978,138.1538086,
564.0499878,-0.01472623926,564.0499878,148.4741058,
565.0700073,0.0296107661,565.0700073,159.7712555,
565.9400024,0,565.9400024,169.4027863,
566.9500122,0.05909204856,566.9500122,182.8260498,
567.9699707,0.04314063862,567.9699707,195.2942352,
568.9799805,0.1606261432,568.9799805,208.5082397,
570,-0.05780764297,570,223.1892853,
571.0200195,-0.01457704697,571.0200195,237.2192078,
572.0499878,0.01496110111,572.0499878,253.6226501,
572.9400024,0.06034638733,572.9400024,265.2243652,
573.9699707,0.1781366915,573.9699707,279.6302795,
575,-0.01536641177,575,297.5966187,
576.0200195,0.1034156755,576.0200195,311.2177429,
577.0499878,0.02980759181,577.0499878,326.9786072,
577.9400024,0.0603018105,577.9400024,335.6807556,
578.9699707,0.05954241753,578.9699707,352.6115417,
580,0.1817630976,580,367.4085388,
581.0100098,0.04609711096,581.0100098,374.6664429,
582.0200195,0.1205563694,582.0200195,386.3699341,
583.039978,0.01498509012,583.039978,394.6391907,
584.0499878,0.1491179764,584.0499878,398.4220581,
585.0700073,0.07655912638,585.0700073,397.5875244,
585.9400024,0.01557753794,585.9400024,399.6325989,
586.9500122,0.1079264283,586.9500122,398.2909241,
587.9699707,0.09131447226,587.9699707,394.4781494,
588.9799805,0.03078343719,588.9799805,387.7138672,
590,0.06091432273,590,377.2700195,
591.0200195,0.1070631072,591.0200195,365.7896118,
592.0499878,-0.01509958226,592.0499878,352.2536621,
592.9400024,0.1378634125,592.9400024,340.7172852,
593.9699707,0.1211625561,593.9699707,325.3139954,
595,0.07537157834,595,306.2691345,
596.0200195,0.06069066003,596.0200195,291.0340576,
597.0499878,0.0148721002,597.0499878,273.8082886,
597.9400024,0.0909807682,597.9400024,255.9773254,
598.9699707,0.2353010327,598.9699707,240.5799255,
600,0.04549935833,600,224.2076263,
601.0100098,-0.01507386193,601.0100098,205.9660645,
602.0200195,-0.03048733994,602.0200195,191.4241333,
603.039978,-0.08904191107,603.039978,177.2786865,
604.0499878,0.1485839933,604.0499878,165.2588348,
605.0700073,0.1075153202,605.0700073,151.5980988,
605.9400024,0,605.9400024,139.7718506,
606.9500122,-0.04508498311,606.9500122,127.9376755,
607.9699707,0.07376045734,607.9699707,117.1994553,
608.9799805,0.04564542696,608.9799805,105.3689423,
610,0.1026212424,610,98.0542984,
611,0.07295329869,611,89.28883362,
612,-0.04492295533,612,81.59168243,
613,0.05917860195,613,75.39795685,
614,0.1170052513,614,69.46711731,
615,0.05881401524,615,63.89447403,
616,0.02963972837,616,57.4522934,
617,-0.04341659695,617,53.1027832,
618,0.1354829967,618,48.77978516,
619,0.04377069697,619,44.98082352,
620,0.02926715091,620,41.43808365,
621.0100098,0.08779117465,621.0100098,38.152668,
622.0200195,0.2027721852,622.0200195,35.61724091,
623.039978,0.05869147182,623.039978,32.32197952,
624.0499878,0.02947070636,624.0499878,30.5961647,
625.0700073,0.08787475526,625.0700073,28.65126228,
625.9400024,0.1882857382,625.9400024,27.28422737,
626.9500122,0.01454905234,626.9500122,25.39263153,
627.9699707,0.08692754805,627.9699707,23.62136459,
628.9799805,0.01461304724,628.9799805,22.44359207,
630,0.0436636731,630,20.80818367,
631.0100098,0.04410402849,631.0100098,19.87776566,
632.0200195,0.02929544449,632.0200195,18.99664879,
633.039978,0.02944900841,633.039978,17.7183075,
634.0499878,0.05752250552,634.0499878,17.29080963,
635.0700073,0.02960945107,635.0700073,16.41872025,
635.9400024,0.06045766175,635.9400024,15.91799259,
636.9500122,0.1319164634,636.9500122,15.08787823,
637.9699707,-0.0451752767,637.9699707,14.63721657,
638.9799805,0.08554441482,638.9799805,13.84057617,
640,0.1150466651,640,13.70999432,
641,-0.08568000793,641,13.21193981,
642,0,642,12.56539822,
643,-0.01477519516,643,12.24413586,
644,0.02904359438,644,12.18665981,
645,0.05786953121,645,12.00785637,
646,0.103426367,646,11.58807659,
647,-0.02907568403,647,11.48774242,
648,0.01431905758,648,11.59907913,
649,0.05729427561,649,11.16963959,
650,0.04324448854,650,11.12125111,
651,0,651,11.13089943,
652,-0.01422859635,652,10.65375996,
653,0.1145278588,653,10.598032,
654,-0.04428240284,654,10.92603302,
655,0.1615936011,655,10.57874489,
656,0.04467077926,656,10.47181797,
657,0.07480662316,657,10.6774931,
658,0.02962216921,658,10.57983589,
659,0.01456218772,659,10.19395161,
660,0.02973668277,660,10.47211838,
661,-0.05871387199,661,10.5663805,
662,0.1011473015,662,10.20731354,
663,0.1161271557,663,10.65691566,
664,0.04394316673,664,10.59862041,
665,0.1489868909,665,10.62230968,
666,0.1175882667,666,10.31434917,
667,-0.0149151329,667,10.61286259,
668,0.1017915308,668,10.60270309,
669,0.1191380396,669,10.85473442,
670,0.1018596664,670,10.72049618,
670.9799805,0.02988419868,670.9799805,10.7158289,
671.9699707,0.08794430643,671.9699707,10.93603611,
672.9500122,-0.04440300167,672.9500122,11.01105595,
673.9400024,0.02907061204,673.9400024,10.70126152,
675.0700073,-0.04410143569,675.0700073,10.57501698,
676.0499878,-0.04244482145,676.0499878,10.72597599,
677.039978,0.1598488688,677.039978,10.84046555,
678.0200195,0.01551253442,678.0200195,11.10523605,
679.0100098,0.02882966027,679.0100098,11.02653122,
680,0.0145458784,680,11.06197929,
